path,seed,architecture,m,steps,n_levels,n_features_per_level,log2_hashmap_size,encoding_output_dims,n_neurons,n_hidden_layers,hash_params_upper,network_params_rough,total_params_rough_upper,hash_mebibytes_fp16_upper,train_sec,val_mse,val_bias,final_loss,pure_var,pure_usec_per_sample,nc_only_bias,nc_only_abs_bias,nc_only_bias2,nc_only_var,nc_only_mse_model_current_n,nc_only_usec_per_sample,residual_bias,residual_var,two_level_bias,two_level_abs_bias,two_level_mse_model_current_n,residual_var_ratio_vs_pure,speedup_score_vs_pure_excluding_training,pure_var_cost_score,two_level_optimal_var_cost_score,training_break_even_variance,training_break_even_rmse,coarse_inference_usec_per_sample,residual_inference_usec_per_sample,coarse_geometry_usec_per_sample,residual_geometry_usec_per_sample,coarse_total_usec_per_sample,residual_total_usec_per_sample
results/final_tcnn_arch_m8_quick/seed_12345/arch_baseline/tcnn_steps_100.json,12345,baseline,8,100,12,2,17,24,32,2,3145728,1889,3147617,6.0,0.6976439920254052,0.0001549478038214147,-0.0011880664387717843,0.00016085024981293827,0.2641040937,6.079386841,0.0003128091990947726,0.0003128091990947726,9.784959503831309e-08,0.21456284821033478,3.371818836529017e-06,1.5430166929837688,0.0009954731212928891,0.047978274524211884,0.0013082823203876617,0.0013082823203876617,5.717662241877295e-06,0.18166425916408235,1.3369466255822202,1.6055909518940108,1.2009387070293849,5.800268467730031e-07,0.0007615949361524163,0.006875731983768674,0.006658340545584451,1.536140961,5.639703491,1.5430166929837688,5.646361831545584
results/final_tcnn_arch_m8_quick/seed_12345/arch_baseline/tcnn_steps_500.json,12345,baseline,8,500,12,2,17,24,32,2,3145728,1889,3147617,6.0,2.324576731014531,1.6723515727790073e-05,-0.00019331944349687546,1.6593152395216748e-05,0.2641040937,6.079386841,0.0009321433678269389,0.0009321433678269389,8.688912581837479e-07,0.21342964470386505,4.125569186404345e-06,1.5428956760095494,0.00030474457889795303,0.04786624759435654,0.001236887946724892,0.001236887946724892,5.516950696229601e-06,0.1812400819834643,1.3422049425857967,1.6055909518940108,1.1962338246205482,1.760996407697861e-07,0.00041964227714779415,0.0067547150095492725,0.0067284702254255535,1.536140961,5.639703491,1.5428956760095494,5.646431961225425
results/final_tcnn_arch_m8_quick/seed_12345/arch_baseline/tcnn_steps_2000.json,12345,baseline,8,2000,12,2,17,24,32,2,3145728,1889,3147617,6.0,9.780158074980136,4.428851752891205e-06,2.437634248053655e-05,4.454270310816355e-06,0.2641040937,6.079386841,0.0011468188092112544,0.0011468188092112544,1.3151933811607196e-06,0.21350498497486115,4.573020910684358e-06,1.5432936403377076,0.00010435516014695168,0.04784729704260826,0.001251173969358206,0.001251173969358206,5.553355643907147e-06,0.18116832788271264,1.3419580710361878,1.6055909518940108,1.1964538882010374,4.1833379435823114e-08,0.0002045320987909309,0.007152679337707468,0.007341827590323646,1.536140961,5.639703491,1.5432936403377076,5.647045318590323
results/final_tcnn_arch_m8_quick/seed_12345/arch_medium/tcnn_steps_100.json,12345,medium,8,100,10,2,14,20,32,2,327680,1761,329441,0.625,0.6470496859983541,0.00016600455273874104,0.0010585854761302471,0.0001723548339214176,0.2641040937,6.079386841,0.002157304733991623,0.002157304733991623,4.653963715302668e-06,0.21251170337200165,7.896634970368611e-06,1.5522024988774765,-0.0008753465954214334,0.047979000955820084,0.0012819581385701898,0.0012819581385701898,5.6181893791266335e-06,0.1816670097144355,1.3388682065674289,1.6055909518940108,1.19921508630816,6.280442976474676e-07,0.0007924924590476982,0.01606153787747644,0.012393631010354511,1.536140961,5.639703491,1.5522024988774765,5.652097122010354
results/final_tcnn_arch_m8_quick/seed_12345/arch_medium/tcnn_steps_500.json,12345,medium,8,500,10,2,14,20,32,2,327680,1761,329441,0.625,2.107568192004692,1.6753569070715457e-05,-6.267568824114278e-05,1.6761365259299055e-05,0.2641040937,6.079386841,0.0010317846387624743,0.0010317846387624743,1.0645795407862097e-06,0.2135014832019806,4.322353637496119e-06,1.543142822312972,0.0002205226628575474,0.04785710200667381,0.0012523073016200217,0.0012523073016200217,5.55628909906311e-06,0.18120545325978724,1.3420108593324462,1.6055909518940108,1.19640682542068,1.9414988707156374e-07,0.0004406244285914749,0.007001861312971869,0.006429091925497232,1.536140961,5.639703491,1.543142822312972,5.646132582925497
results/final_tcnn_arch_m8_quick/seed_12345/arch_medium/tcnn_steps_2000.json,12345,medium,8,2000,10,2,14,20,32,2,327680,1761,329441,0.625,8.020080226007849,1.4574335182260256e-05,-0.002239169552922249,1.1747188182198443e-05,0.2641040937,6.079386841,-0.0007828079909086225,0.0007828079909086225,6.12788350630394e-07,0.21253959834575653,3.855885249216767e-06,1.5472675015777773,0.0020169971976429224,0.04785078018903732,0.0012341892067343,0.0012341892067343,5.496464857986388e-06,0.18118151641902144,1.3427254075710753,1.6055909518940108,1.1957701424585734,5.109934039144066e-08,0.0002260516321362017,0.011126540577777178,0.012358047030147645,1.536140961,5.639703491,1.5472675015777773,5.652061538030147
results/final_tcnn_arch_m8_quick/seed_12345/arch_nano/tcnn_steps_100.json,12345,nano,8,100,4,2,12,8,16,1,32768,161,32929,0.0625,0.8352352069923654,0.0002036278456216678,-6.144373037386686e-05,0.00020764287910424173,0.2641040937,6.079386841,0.0012306015193462375,0.0012306015193462375,1.514380099417268e-06,0.21158920228481293,4.742975104983872e-06,1.55222195442576,7.307709893211722e-05,0.047986600548028946,0.0013036786182783547,0.0013036786182783547,5.660390360911584e-06,0.18169578470274558,1.3413750371852706,1.6055909518940108,1.1969739315137162,4.892238940114861e-07,0.0006994454188937733,0.01608099342575997,0.016287154736005505,1.536140961,5.639703491,1.55222195442576,5.655990645736005
results/final_tcnn_arch_m8_quick/seed_12345/arch_nano/tcnn_steps_500.json,12345,nano,8,500,4,2,12,8,16,1,32768,161,32929,0.0625,1.9803643859922886,1.741630694596097e-05,1.7525191651657224e-05,1.739196159178391e-05,0.2641040937,6.079386841,0.0011041735485196116,0.0011041735485196116,1.2191992252503912e-06,0.21342158317565918,4.475754144312574e-06,1.5524014597252735,0.00015792553313076496,0.047855738550424576,0.0012620990816503766,0.0012620990816503766,5.579669630935984e-06,0.1812002906883551,1.3374730060844153,1.6055909518940108,1.2004660614381575,2.045708826726148e-07,0.00045229512784532045,0.016260498725273465,0.011856552184497104,1.536140961,5.639703491,1.5524014597252735,5.651560043184497
results/final_tcnn_arch_m8_quick/seed_12345/arch_nano/tcnn_steps_2000.json,12345,nano,8,2000,4,2,12,8,16,1,32768,161,32929,0.0625,9.049523346009664,7.945842298795469e-06,-5.552517541218549e-05,7.958447895362042e-06,0.2641040937,6.079386841,0.001049517020583153,0.001049517020583153,1.1014859764937386e-06,0.2134115993976593,4.357888555193374e-06,1.5522822271014993,0.000200443813810125,0.04785461351275444,0.001249960834393278,0.001249960834393278,5.5490081194753575e-06,0.1811960308616543,1.3370729364283058,1.6055909518940108,1.2008252565361104,4.472784696846818e-08,0.00021148959068584955,0.01614126610149924,0.016325774510050906,1.536140961,5.639703491,1.5522822271014993,5.656029265510051
results/final_tcnn_arch_m8_quick/seed_12345/arch_small/tcnn_steps_100.json,12345,small,8,100,8,2,13,16,16,1,131072,289,131361,0.25,0.6594326939666644,7.068835839163512e-05,0.00013469996338244528,7.202582492027432e-05,0.2641040937,6.079386841,0.001448817849159241,0.001448817849159241,2.0990731600424092e-06,0.21248988807201385,5.3414115400475035e-06,1.5505789646815051,-0.00014346756506711245,0.04789159819483757,0.0013053502840921286,0.0013053502840921286,5.677045538905527e-06,0.18133606913809672,1.3406847890803633,1.6055909518940108,1.1975901904543564,6.187147910204761e-07,0.0007865842555127049,0.014438003681505052,0.01374716251945074,1.536140961,5.639703491,1.5505789646815051,5.65345065351945
results/final_tcnn_arch_m8_quick/seed_12345/arch_small/tcnn_steps_500.json,12345,small,8,500,8,2,13,16,16,1,131072,289,131361,0.25,1.4973821429884993,1.1813823221018538e-05,0.00015465286560356617,1.1878601071657613e-05,0.2641040937,6.079386841,0.0013271936401724818,0.0013271936401724818,1.7614429585142832e-06,0.21357274055480957,5.020304356140162e-06,1.5416700901545246,-5.3638359531760216e-05,0.047850631177425385,0.0012735552806407216,0.0012735552806407216,5.610947138117565e-06,0.18118095220356437,1.3418524370043836,1.6055909518940108,1.1965480760898044,2.7317200069437993e-07,0.0005226585890372222,0.005529129154524526,0.01246904002272231,1.536140961,5.639703491,1.5416700901545246,5.652172531022722
results/final_tcnn_arch_m8_quick/seed_12345/arch_small/tcnn_steps_2000.json,12345,small,8,2000,8,2,13,16,16,1,131072,289,131361,0.25,5.24885626800824,6.5635736063995864e-06,0.001066562719643116,5.773782504547853e-06,0.2641040937,6.079386841,0.0021573792397975924,0.0021573792397975924,4.654285184309638e-06,0.21342366933822632,7.910871935686383e-06,1.5514279788737886,-0.0008849757723510265,0.04784870892763138,0.001272403467446566,0.001272403467446566,5.605710691786476e-06,0.1811736738241683,1.3379178246730148,1.6055909518940108,1.2000669415450944,7.725949990678613e-08,0.0002779559315912976,0.0152870178737885,0.012589843834120984,1.536140961,5.639703491,1.5514279788737886,5.652293334834121
results/final_tcnn_arch_m8_quick/seed_12345/arch_tiny/tcnn_steps_100.json,12345,tiny,8,100,6,2,12,12,16,1,49152,225,49377,0.09375,0.5503068739781156,0.00018380716210231185,-0.0002674749121069908,0.00018547562649473548,0.2641040937,6.079386841,0.0005502061173319819,0.0005502061173319819,3.027267715495347e-07,0.21507441997528076,3.58450197869188e-06,1.5512426462356634,0.0007339823059737682,0.047988682985305786,0.0012841884233057502,0.0012841884233057502,5.663164304754818e-06,0.181703669613758,1.330701722967977,1.6055909518940108,1.2065746396667505,7.250796439136034e-07,0.0008515160855283965,0.015101685235663354,0.01301496865835361,1.536140961,5.639703491,1.5512426462356634,5.652718459658353
results/final_tcnn_arch_m8_quick/seed_12345/arch_tiny/tcnn_steps_500.json,12345,tiny,8,500,6,2,12,12,16,1,49152,225,49377,0.09375,1.7597982989973389,2.487956589902751e-05,-0.0005125939496792853,2.5174020265694708e-05,0.2641040937,6.079386841,0.0005257141962647441,0.0005257141962647441,2.7637541615428587e-07,0.21316766738891602,3.5290558877869156e-06,1.543542420001244,0.0007169566233642399,0.04787407070398331,0.001242670819628984,0.001242670819628984,5.527411584025293e-06,0.18126970329495998,1.3416365753717472,1.6055909518940108,1.1967405938147786,2.323279652629386e-07,0.000482004113325746,0.007401459001243893,0.015882446469106526,1.536140961,5.639703491,1.543542420001244,5.655585937469106
results/final_tcnn_arch_m8_quick/seed_12345/arch_tiny/tcnn_steps_2000.json,12345,tiny,8,2000,6,2,12,12,16,1,49152,225,49377,0.09375,9.019128008978441,9.867939297691919e-06,0.0012782580452039838,9.0083631221205e-06,0.2641040937,6.079386841,0.002364463470876217,0.002364463470876217,5.590687505108008e-06,0.21343137323856354,8.847391808674957e-06,1.5529761351436369,-0.0011099926196038723,0.04785803705453873,0.0012544708512723449,0.0012544708512723449,5.560657112619425e-06,0.1812089937117803,1.337047707990001,1.6055909518940108,1.2008479146250615,4.4876071929130197e-08,0.0002118397317056699,0.016835174143636777,0.012769866941653163,1.536140961,5.639703491,1.5529761351436369,5.652473357941653
